DISTRICT_NAME,COUNTY
FRANKLIN CO. R-II,Franklin County
MERAMEC VALLEY R-III,Franklin County
NEW HAVEN,Franklin County
ST. CLAIR R-XIII,Franklin County
SULLIVAN,Franklin County
UNION R-XI,Franklin County
WASHINGTON,Franklin County
CRYSTAL CITY 47,Jefferson County
DESOTO 73,Jefferson County
DUNKLIN R-V,Jefferson County
FESTUS R-VI,Jefferson County
FOX C-6,Jefferson County
GRANDVIEW R-II,Jefferson County
HILLSBORO R-III,Jefferson County
JEFFERSON CO. R-VII,Jefferson County
NORTHWEST R-I,Jefferson County
SUNRISE R-IX,Jefferson County
WINDSOR C-1,Jefferson County
FERGUSON-FLORISSANT R-II,North County
HANCOCK PLACE,North County
HAZELWOOD,North County
JENNINGS,North County
NORMANDY SCHOOLS COLLABORATIVE,North County
PATTONVILLE R-III,North County
RITENOUR,North County
RIVERVIEW GARDENS,North County
AFFTON 101,South County
BAYLESS,South County
MEHLVILLE R-IX,South County
FRANCIS HOWELL R-III,St. Charles County
FT. ZUMWALT R-II,St. Charles County
ORCHARD FARM R-V,St. Charles County
ST. CHARLES R-VI,St. Charles County
WENTZVILLE R-IV,St. Charles County
ST. LOUIS CITY,St. Louis City
BRENTWOOD,West County
CLAYTON,West County
KIRKWOOD R-VII,West County
LADUE,West County
LINDBERGH SCHOOLS,West County
MAPLEWOOD-RICHMOND HEIGHTS,West County
PARKWAY C-2,West County
ROCKWOOD R-VI,West County
UNIVERSITY CITY,West County
VALLEY PARK,West County
WEBSTER GROVES,West County