DISTRICT_NAME,COUNTY,PROFICIENT_PCT,ADVANCED_PCT,PROF_ADV_PCT_TOTAL
FRANKLIN CO. R-II,Franklin County,33.8,37.7,71.5
MERAMEC VALLEY R-III,Franklin County,26.6,17.1,43.7
UNION R-XI,Franklin County,26.8,22.7,49.5
ST. CLAIR R-XIII,Franklin County,21,11.6,32.6
SULLIVAN,Franklin County,24.2,19,43.2
NEW HAVEN,Franklin County,29.8,20,49.8
WASHINGTON,Franklin County,28,19.5,47.5
NORTHWEST R-I,Jefferson County,23.8,17.6,41.4
GRANDVIEW R-II,Jefferson County,12.6,5.6,18.2
HILLSBORO R-III,Jefferson County,25.8,16.6,42.4
DUNKLIN R-V,Jefferson County,23.1,10.9,34
FESTUS R-VI,Jefferson County,30.3,33.8,64.1
JEFFERSON CO. R-VII,Jefferson County,27.5,19,46.5
SUNRISE R-IX,Jefferson County,26.1,10.4,36.5
WINDSOR C-1,Jefferson County,24.9,13,37.9
FOX C-6,Jefferson County,27.3,21.8,49.1
CRYSTAL CITY 47,Jefferson County,23.6,21.1,44.7
DESOTO 73,Jefferson County,29.9,24.7,54.6
FT. ZUMWALT R-II,St. Charles County,29.1,29.3,58.4
FRANCIS HOWELL R-III,St. Charles County,28.1,33.1,61.2
WENTZVILLE R-IV,St. Charles County,27,24.1,51.1
ST. CHARLES R-VI,St. Charles County,25.8,22.4,48.2
ORCHARD FARM R-V,St. Charles County,24.8,28.2,53
HAZELWOOD,North County,12.8,6.4,19.2
FERGUSON-FLORISSANT R-II,North County,11.3,5.1,16.4
PATTONVILLE R-III,North County,22.7,15.5,38.2
ROCKWOOD R-VI,West County,28.1,29.7,57.8
KIRKWOOD R-VII,West County,25.9,32.2,58.1
LINDBERGH SCHOOLS,West County,28.4,27.3,55.7
MEHLVILLE R-IX,South County,22.4,15.5,37.9
PARKWAY C-2,West County,26.8,30.6,57.4
AFFTON 101,South County,21.2,12.5,33.7
BAYLESS,South County,24.1,27.1,51.2
BRENTWOOD,West County,20.2,42.3,62.5
CLAYTON,West County,23.6,46.6,70.2
HANCOCK PLACE,North County,20.2,13.4,33.6
JENNINGS,North County,9.4,6,15.4
LADUE,West County,23.5,43.3,66.8
MAPLEWOOD-RICHMOND HEIGHTS,West County,21.5,26,47.5
NORMANDY SCHOOLS COLLABORATIVE,North County,5.1,1.9,7
RITENOUR,North County,14.9,7.4,22.3
RIVERVIEW GARDENS,North County,2.2,0.3,2.5
UNIVERSITY CITY,West County,15.8,10,25.8
VALLEY PARK,West County,27.5,15.4,42.9
WEBSTER GROVES,West County,27.9,37.4,65.3
ST. LOUIS CITY,St. Louis City,7.9,8.3,16.2